Date,9988.HK,BABA
2022-02-15,118.19344329833984,124.56550598144531
2022-02-16,122.28629302978516,123.89452362060547
2022-02-17,122.78541564941406,122.7795181274414
2022-02-18,119.2915267944336,117.41167449951172
2022-02-21,114.69954681396484,
2022-02-22,111.20565795898438,111.43205261230469
2022-02-23,112.20391082763672,108.26463317871094
2022-02-24,104.71699523925781,107.48511505126953
2022-02-25,105.11630249023438,106.50824737548828
2022-02-28,104.0182113647461,103.79472351074219
2022-03-01,103.6189193725586,105.66951751708984
2022-03-02,103.71874237060547,104.02166748046875
2022-03-03,104.21786499023438,100.69637298583984
2022-03-04,98.82728576660156,99.2656021118164
2022-03-07,95.83251953125,97.3513412475586
2022-03-08,96.73094940185547,96.20672607421875
2022-03-09,96.08208465576172,99.59123229980469
2022-03-10,95.93234252929688,91.6874771118164
2022-03-11,90.64159393310547,85.55984497070312
2022-03-14,80.75886535644531,76.72856903076172
2022-03-15,71.12570190429688,75.74182891845703
2022-03-16,90.54176330566406,103.58750915527344
2022-03-17,101.82205200195312,99.03865814208984
2022-03-18,98.17842102050781,106.86347198486328
2022-03-21,98.92710876464844,102.2159423828125
2022-03-22,110.00774383544922,113.46472930908203
2022-03-23,117.39483642578125,115.68488311767578
2022-03-24,113.60147094726562,113.62261199951172
2022-03-25,107.21263122558594,111.49125671386719
2022-03-28,110.90617370605469,113.56340026855469
2022-03-29,113.30199432373047,115.16191864013672
2022-03-30,113.7012939453125,115.03364562988281
2022-03-31,111.90443420410156,107.35684204101562
2022-04-01,109.50862121582031,108.73826599121094
2022-04-04,113.50164031982422,115.94143676757812
2022-04-05,,109.52765655517578
2022-04-06,107.41228485107422,106.25169372558594
2022-04-07,105.01647186279297,102.88692474365234
2022-04-08,103.6189193725586,102.15673828125
2022-04-11,98.32816314697266,100.20301055908203
2022-04-12,98.82728576660156,98.4268798828125
2022-04-13,98.32816314697266,98.70316314697266
2022-04-14,95.3333969116211,94.22338104248047
2022-04-18,,93.4537353515625
2022-04-19,91.34037017822266,92.25978088378906
2022-04-20,90.54176330566406,88.22403717041016
2022-04-21,87.74665069580078,84.84939575195312
2022-04-22,86.49883270263672,85.34276580810547
2022-04-25,81.70720672607422,84.70138549804688
2022-04-26,84.75188446044922,82.87592315673828
2022-04-27,84.40249633789062,87.14849090576172
2022-04-28,88.09603881835938,89.70413970947266
2022-04-29,101.921875,95.80216217041016
2022-05-02,,99.86751556396484
2022-05-03,100.1250228881836,99.04852294921875
2022-05-04,96.38156127929688,100.06486511230469
2022-05-05,96.53129577636719,93.38465881347656
2022-05-06,90.19237518310547,88.85554504394531
2022-05-09,,83.71464538574219
2022-05-10,85.84996795654297,83.44823455810547
2022-05-11,85.50057983398438,80.64590454101562
2022-05-12,79.86043548583984,80.01438903808594
2022-05-13,82.05659484863281,86.82286834716797
2022-05-16,84.45240783691406,85.33290100097656
2022-05-17,90.39202880859375,90.76980590820312
2022-05-18,89.84298706054688,86.15188598632812
2022-05-19,83.20458984375,86.52684783935547
2022-05-20,87.89639282226562,85.63878631591797
2022-05-23,84.9515380859375,86.07295227050781
2022-05-24,83.45415496826172,81.37609100341797
2022-05-25,82.20633697509766,81.21820831298828
2022-05-26,80.95851135253906,93.2267837524414
2022-05-27,90.84124755859375,92.17098236083984
2022-05-30,94.73444366455078,
2022-05-31,96.08208465576172,94.77596282958984
2022-06-01,94.4349594116211,92.14137268066406
2022-06-02,92.13897705078125,96.20672607421875
2022-06-03,,91.97362518310547
2022-06-06,96.7808609008789,97.69670104980469
2022-06-07,98.62763977050781,102.93626403808594
2022-06-08,108.61019134521484,118.03331756591797
2022-06-09,111.1058349609375,108.44224548339844
2022-06-10,112.60321807861328,108.38304138183594
2022-06-13,103.6189193725586,97.21319580078125
2022-06-14,101.02344512939453,103.83419799804688
2022-06-15,105.415771484375,106.59705352783203
2022-06-16,102.22135925292969,100.10432434082031
2022-06-17,104.31769561767578,100.88385009765625
2022-06-20,104.21786499023438,
2022-06-21,105.61542510986328,104.97880554199219
2022-06-22,101.32292938232422,103.75525665283203
2022-06-23,107.81158447265625,110.62293243408203
2022-06-24,113.7012939453125,116.05985260009766
2022-06-27,117.89396667480469,117.1551284790039
2022-06-28,117.89396667480469,115.21125793457031
2022-06-29,114.30024719238281,114.49093627929688
2022-06-30,111.70478057861328,112.17211151123047
2022-07-01,,114.46133422851562
2022-07-04,113.00251007080078,
2022-07-05,114.9990234375,118.53655242919922
2022-07-06,116.79588317871094,117.53995513916016
2022-07-07,116.49640655517578,120.76657104492188
2022-07-08,120.78890991210938,119.29634094238281
2022-07-11,113.80111694335938,108.11662292480469
2022-07-12,107.6119384765625,107.76139831542969
2022-07-13,107.21263122558594,107.6528549194336
2022-07-14,108.51036071777344,102.3836898803711
2022-07-15,102.0217056274414,101.0811996459961
2022-07-18,103.71874237060547,101.77191162109375
2022-07-19,100.7239761352539,103.36055755615234
2022-07-20,103.01995849609375,102.58103942871094
2022-07-21,101.82205200195312,103.73551177978516
2022-07-22,101.921875,99.27547454833984
2022-07-25,99.42623901367188,99.7195053100586
2022-07-26,104.21786499023438,100.09446716308594
2022-07-27,100.82379913330078,101.41668701171875
2022-07-28,98.9770278930664,99.21627044677734
2022-07-29,92.93757629394531,88.1845703125
2022-08-01,89.44368743896484,89.14169311523438
2022-08-02,86.89813995361328,91.3914566040039
